Make,Model,Year,Vendor,MPN,AD Item Number,NI# ,OEM#,REF#,O.D,I.D,HEIGHT,Vendor Notes
POLARIS,PATRIOT 9R RMK PRO MATRYX 155/163/165 SLASH ,2023,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,PATRIOT BOOST INDY VR1 MATRYX 129/137,2023,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
POLARIS,PATRIOT BOOST SWITCHBACK ASSAULT 146,2023,NACH,SM-07290,129109,SM-07290,7052593,,,,,"1/4"" STRIGHT FITTING, BODY OD:12.7/ 10.2MM, L:37.2MM W/ FILTER L:27MM"
ARCTIC CAT,BEARCAT 4-STROKE,2003,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,BEARCAT 4-STROKE,2004,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,BEARCAT 4-STROKE,2005,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,BEARCAT 4-STROKE,2006,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,BEARCAT 4-STROKE,2007,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,BEARCAT 4-STROKE,2008,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,FITS ALL 4-STROKE MODELS,2002,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,FITS ALL 4-STROKE MODELS,2003,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
POLARIS,FRONTIER TOURING,2003,NACH,AT-07063,KX09402,AT-07063,2540006,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER TOURING,2003,NACH,AT-07063,KX09402,AT-07063,2540086,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER TOURING,2004,NACH,AT-07063,KX09402,AT-07063,2540006,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER TOURING,2004,NACH,AT-07063,KX09402,AT-07063,2540086,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER TOURING,2005,NACH,AT-07063,KX09402,AT-07063,2540006,KN-196,66MM,,88MM,WITH O-RING
POLARIS,FRONTIER TOURING,2005,NACH,AT-07063,KX09402,AT-07063,2540086,KN-196,66MM,,88MM,WITH O-RING
ARCTIC CAT,T660,2004,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,T660,2005,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,T660,2006,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
ARCTIC CAT,T660,2007,NACH,SM-07068,KX09400,SM-07068,3005-948,09-4 00,,,,WITH O-RING
POLARIS,FST/IQ CRUISER,2007,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ CRUISER,2007,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ CRUISER,2008,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ CRUISER,2008,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ SWITCHBACK,2006,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ SWITCHBACK,2006,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ SWITCHBACK,2007,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST/IQ SWITCHBACK,2007,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS IQ TOURING,2007,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS IQ TOURING,2007,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS IQ TOURING,2008,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS IQ TOURING,2008,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS IQ TOURING,2009,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS IQ TOURING,2009,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2007,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2007,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2008,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2008,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2009,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2009,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2010,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FST IQ TOURING,2010,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,IQ TURBO DRAGON,2008,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,IQ TURBO DRAGON,2008,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,IQ TURBO DRAGON,2009,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,IQ TURBO DRAGON,2009,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,IQ TURBO DRAGON,2010,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,IQ TURBO DRAGON,2010,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2009,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2009,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2010,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2010,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2011,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2011,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2012,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO IQ,2012,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO SWITCHBACK,2008,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO SWITCHBACK,2008,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO SWITCHBACK,2009,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,TURBO SWITCHBACK,2009,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2010,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2010,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2011,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2011,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2012,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2012,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2013,NACH,SM-07500,121718,SM-07500,454822,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
POLARIS,FS WIDETRAK IQ/INTL,2013,NACH,SM-07500,121718,SM-07500,451848,,46.4MM,17MM,70MM,"WITH 2 O-RINGS 0.155"" THICK ORING IS FOR THE WEBBER FST MOTOR."
LYNX,59 YETI 600 ACE,2011,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2011,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2011,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2012,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2012,NACH,SM-07163,120322,SM-07163,420956123,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2012,NACH,SM-07163,120322,SM-07163,420956124,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
LYNX,59 YETI 600 ACE,2013,NACH,SM-07163,120322,SM-07163,420956120,,56.6MM,,74MM,PAPER ELEMENT TYPE WITH O-RING
